_key,code_a,desc_a,code_b,desc_b,n_both,lift,odds_ratio,or_adjusted,confounding_ratio,chapter_a,chapter_b,ccsr_desc_a,ccsr_desc_b,code_pairs_in_group,max_lift_in_group
Abdominal hernia | Other aftercare encounter,K435,Parastomal hernia without obstruction or gangrene,Z433,Encounter for attention to colostomy,726,233.41507105126465,329.6587511646635,247.8486318530281,1.330080980072337,Digestive,Factors/status,Abdominal hernia,Other aftercare encounter,1,233.41507105126465
"Pathological fracture, initial encounter | Secondary malignancies",C7951,Secondary malignant neoplasm of bone,M8458XA,"Pathological fracture in neoplastic disease, oth site, init",3389,81.48407384310406,357.15840751722976,246.043478383751,1.4516068861625109,Neoplasm,Musculoskeletal,Secondary malignancies,"Pathological fracture, initial encounter",3,81.48407384310406
Diabetes mellitus with complication | Gangrene,E1152,Type 2 diabetes w diabetic peripheral angiopathy w gangrene,I96,"Gangrene, not elsewhere classified",11497,106.84666291549864,319.0918229191899,237.80305152138416,1.3418323309047022,Endocrine/metabolic,Circulatory,Diabetes mellitus with complication,Gangrene,4,106.84666291549864
Osteoarthritis | Tendon and synovial disorders,M19011,"Primary osteoarthritis, right shoulder",M75101,"Unsp rotatr-cuff tear/ruptr of right shoulder, not trauma",2559,184.28761345800203,408.33826243551647,233.8131080768565,1.7464301543833545,Musculoskeletal,Musculoskeletal,Osteoarthritis,Tendon and synovial disorders,2,218.16767009199725
Diabetes mellitus with complication | Peripheral and visceral vascular disease,E1152,Type 2 diabetes w diabetic peripheral angiopathy w gangrene,I70261,"Athscl native arteries of extremities w gangrene, right leg",2468,132.62679534177232,351.45490010152315,221.2165439933847,1.5887369622410932,Endocrine/metabolic,Circulatory,Diabetes mellitus with complication,Peripheral and visceral vascular disease,15,132.62679534177232
Diseases of mouth; excluding dental | Disorders of teeth and gingiva,K047,Periapical abscess without sinus,K122,Cellulitis and abscess of mouth,1340,201.80211569636643,328.27971850480554,217.92186552256624,1.506410188429722,Digestive,Digestive,Disorders of teeth and gingiva,Diseases of mouth; excluding dental,2,201.80211569636643
Diabetes mellitus with complication | Non-pressure ulcer of skin,E11621,Type 2 diabetes mellitus with foot ulcer,L97529,Non-pressure chronic ulcer oth prt left foot w unsp severity,17695,72.89030345431202,320.3960393954877,211.67927940705783,1.5135918843495697,Endocrine/metabolic,Skin,Diabetes mellitus with complication,Non-pressure ulcer of skin,38,108.63037188057284
"Fracture of head and neck, initial encounter | Traumatic brain injury (TBI); concussion, initial encounter",S0219XA,"Oth fracture of base of skull, init for clos fx",S066X9A,"Traum subrac hem w LOC of unsp duration, init",1563,199.3477944613117,325.5528075782775,210.06974357675549,1.5497367780587912,Injury,Injury,"Fracture of head and neck, initial encounter","Traumatic brain injury (TBI); concussion, initial encounter",9,199.3477944613117
Other specified and unspecified disorders of stomach and duodenum | Other specified and unspecified liver disease,K3189,Other diseases of stomach and duodenum,K766,Portal hypertension,16112,75.45523407569306,258.82015537650534,204.0817891166788,1.2682177890381547,Digestive,Digestive,Other specified and unspecified disorders of stomach and duodenum,Other specified and unspecified liver disease,9,75.45523407569306
Biliary tract disease | Endocrine system cancers - pancreas,C250,Malignant neoplasm of head of pancreas,K831,Obstruction of bile duct,2435,101.17697532912396,175.1201972449089,183.21509703222,0.955817506753346,Neoplasm,Digestive,Endocrine system cancers - pancreas,Biliary tract disease,4,101.17697532912396
Postprocedural or postoperative endocrine or metabolic complication | Unacceptable PDX,E890,Postprocedural hypothyroidism,Z85850,Personal history of malignant neoplasm of thyroid,8903,96.67421953408288,291.30407461202475,177.09527326773178,1.644900336620688,Endocrine/metabolic,Factors/status,Postprocedural or postoperative endocrine or metabolic complication,Unacceptable PDX,2,96.67421953408288
"Other nervous system disorders (neither hereditary nor degenerative) | Pathological fracture, initial encounter",G9529,Other cord compression,M8458XA,"Pathological fracture in neoplastic disease, oth site, init",517,193.9154320973273,249.72756652812805,176.360970632076,1.4160024501629067,Nervous,Musculoskeletal,Other nervous system disorders (neither hereditary nor degenerative),"Pathological fracture, initial encounter",1,193.9154320973273
Pituitary disorders | Thyroid disorders,E038,Other specified hypothyroidism,E230,Hypopituitarism,716,126.06829565057797,160.61584387624148,164.95019786051347,0.9737232568345432,Endocrine/metabolic,Endocrine/metabolic,Thyroid disorders,Pituitary disorders,1,126.06829565057797
Benign neoplasms | Pituitary disorders,D352,Benign neoplasm of pituitary gland,E230,Hypopituitarism,551,127.09128000494928,156.5956235283374,162.57400621783074,0.9632267000821584,Neoplasm,Endocrine/metabolic,Benign neoplasms,Pituitary disorders,1,127.09128000494928
Other specified and unspecified liver disease | Other specified diseases of veins and lymphatics,I8510,Secondary esophageal varices without bleeding,K766,Portal hypertension,10691,81.99666391207764,283.53420457541944,162.03564815572153,1.7498260895215714,Circulatory,Digestive,Other specified diseases of veins and lymphatics,Other specified and unspecified liver disease,21,90.2067466698769
Disorders of teeth and gingiva | Skin and subcutaneous tissue infections,K047,Periapical abscess without sinus,L03211,Cellulitis of face,2093,139.99077956481105,220.0471666993555,160.72601671144085,1.3690824373157755,Digestive,Skin,Disorders of teeth and gingiva,Skin and subcutaneous tissue infections,2,139.99077956481105
Other nervous system disorders (neither hereditary nor degenerative) | Unacceptable PDX,G919,"Hydrocephalus, unspecified",Z982,Presence of cerebrospinal fluid drainage device,3176,126.34060524198148,220.75165424910907,155.40180984539126,1.4205217717138183,Nervous,Factors/status,Other nervous system disorders (neither hereditary nor degenerative),Unacceptable PDX,24,126.34060524198148
Chronic kidney disease | Unacceptable PDX,I120,Hyp chr kidney disease w stage 5 chr kidney disease or ESRD,Z992,Dependence on renal dialysis,78516,30.937521929410348,212.38067019729849,151.9601134160317,1.3976080000404396,Circulatory,Factors/status,Chronic kidney disease,Unacceptable PDX,18,31.910431430492167
"Fracture of torso, initial encounter | Internal organ injury, initial encounter",S2242XA,"Multiple fractures of ribs, left side, init for clos fx",S270XXA,"Traumatic pneumothorax, initial encounter",2822,116.06654562835644,188.90870226367807,145.22528614402304,1.3007975902786877,Injury,Injury,"Fracture of torso, initial encounter","Internal organ injury, initial encounter",13,136.33733601305082
Other specified status | Postprocedural or postoperative respiratory system complication,J95851,Ventilator associated pneumonia,Z9911,Dependence on respirator [ventilator] status,1432,111.28595683021358,172.0267467194114,138.4163216397019,1.242821256059654,Respiratory,Factors/status,Postprocedural or postoperative respiratory system complication,Other specified status,1,111.28595683021358
"Internal organ injury, initial encounter | Other specified injury",S270XXA,"Traumatic pneumothorax, initial encounter",T797XXA,"Traumatic subcutaneous emphysema, initial encounter",1379,159.00751821969317,243.03467762179224,131.40482980767086,1.84951099573362,Injury,Injury/poisoning,"Internal organ injury, initial encounter",Other specified injury,3,219.32073734911805
Acute hemorrhagic cerebrovascular disease | Other nervous system disorders (neither hereditary nor degenerative),G936,Cerebral edema,I611,"Nontraumatic intcrbl hemorrhage in hemisphere, cortical",3070,75.80649800766948,160.0587484082679,125.25937947655396,1.2778184681828768,Nervous,Circulatory,Other nervous system disorders (neither hereditary nor degenerative),Acute hemorrhagic cerebrovascular disease,20,224.78240785410733
Other specified joint disorders | Spondylopathies/spondyloarthropathy (including infective),M2578,"Osteophyte, vertebrae",M4802,"Spinal stenosis, cervical region",2435,83.42313175559954,172.4854093246107,119.67655695178767,1.4412631322114102,Musculoskeletal,Musculoskeletal,Other specified joint disorders,Spondylopathies/spondyloarthropathy (including infective),1,83.42313175559954
Encounter for antineoplastic therapies | Non-Hodgkin lymphoma,C8330,"Diffuse large B-cell lymphoma, unspecified site",Z5111,Encounter for antineoplastic chemotherapy,1748,71.94437462073029,107.6036040656602,115.65265145314544,0.9304032610895552,Neoplasm,Factors/status,Non-Hodgkin lymphoma,Encounter for antineoplastic therapies,2,108.65824330894247
Aortic and peripheral arterial embolism or thrombosis | Other specified and unspecified circulatory disease,I743,Embolism and thrombosis of arteries of the lower extremities,I998,Other disorder of circulatory system,981,121.8771827256439,161.15949768239892,113.18691501797232,1.423835057760955,Circulatory,Circulatory,Aortic and peripheral arterial embolism or thrombosis,Other specified and unspecified circulatory disease,1,121.8771827256439
Other nervous system disorders (neither hereditary nor degenerative) | Spondylopathies/spondyloarthropathy (including infective),G9589,Other specified diseases of spinal cord,M4802,"Spinal stenosis, cervical region",1735,80.62147902609917,158.6719557738011,112.22639579461816,1.4138559351418665,Nervous,Musculoskeletal,Other nervous system disorders (neither hereditary nor degenerative),Spondylopathies/spondyloarthropathy (including infective),5,161.52567485377355
Other specified and unspecified endocrine disorders | Pituitary disorders,E230,Hypopituitarism,E2740,Unspecified adrenocortical insufficiency,1416,89.16462135044526,129.32191175223127,110.39557044674032,1.171441129647696,Endocrine/metabolic,Endocrine/metabolic,Pituitary disorders,Other specified and unspecified endocrine disorders,3,195.19807203742243
Diabetes mellitus with complication | Osteomyelitis,E1169,Type 2 diabetes mellitus with other specified complication,M869,"Osteomyelitis, unspecified",11704,57.66579305387495,150.18104577589224,105.08932539317355,1.42907992999304,Endocrine/metabolic,Musculoskeletal,Diabetes mellitus with complication,Osteomyelitis,43,74.32716615796329
Biliary tract disease | Gastrointestinal cancers - bile duct,C221,Intrahepatic bile duct carcinoma,K8309,Other cholangitis,694,112.25796525980704,141.1883377151861,102.00612848386716,1.3841162272668333,Neoplasm,Digestive,Gastrointestinal cancers - bile duct,Biliary tract disease,1,112.25796525980704
Anal and rectal conditions | Benign neoplasms,K621,Rectal polyp,K635,Polyp of colon,931,103.06398664020236,143.1080252637815,98.78017399395522,1.4487525125491163,Digestive,Digestive,Anal and rectal conditions,Benign neoplasms,1,103.06398664020236
Cardiac arrest and ventricular fibrillation | Coma; stupor; and brain damage,G931,"Anoxic brain damage, not elsewhere classified",I469,"Cardiac arrest, cause unspecified",7027,65.47488624935121,117.8310221597114,96.8570794964286,1.2165452723985568,Nervous,Circulatory,Coma; stupor; and brain damage,Cardiac arrest and ventricular fibrillation,3,65.47488624935121
Leukemia - acute myeloid leukemia (AML) | Unacceptable PDX,C9200,"Acute myeloblastic leukemia, not having achieved remission",R5081,Fever presenting with conditions classified elsewhere,2600,71.31075804418907,108.05222161166824,92.4861998766932,1.1683064257773417,Neoplasm,Symptoms/signs,Leukemia - acute myeloid leukemia (AML),Unacceptable PDX,2,71.31075804418907
Conditions due to neoplasm or the treatment of neoplasm | Unacceptable PDX,D61810,Antineoplastic chemotherapy induced pancytopenia,R5081,Fever presenting with conditions classified elsewhere,8065,68.11463541202575,130.1970143471168,92.11160539801554,1.4134702547473108,Blood/immune,Symptoms/signs,Conditions due to neoplasm or the treatment of neoplasm,Unacceptable PDX,17,104.107856932384
Conditions due to neoplasm or the treatment of neoplasm | Diseases of mouth; excluding dental,D61810,Antineoplastic chemotherapy induced pancytopenia,K1230,"Oral mucositis (ulcerative), unspecified",1836,80.19218588954809,130.40814227616067,90.50033826390832,1.4409685618619132,Blood/immune,Digestive,Conditions due to neoplasm or the treatment of neoplasm,Diseases of mouth; excluding dental,3,80.19218588954809
Intestinal obstruction and ileus | Postprocedural or postoperative digestive system complication,K567,"Ileus, unspecified",K9189,Oth postprocedural complications and disorders of dgstv sys,8078,48.805152976420814,105.0890009741256,87.15391554392215,1.2057863415346484,Digestive,Digestive,Intestinal obstruction and ileus,Postprocedural or postoperative digestive system complication,1,48.805152976420814
Diabetes mellitus without complication | Unacceptable PDX,E109,Type 1 diabetes mellitus without complications,Z9641,Presence of insulin pump (external) (internal),1517,84.82685371549837,116.20875580471296,86.33215227416508,1.3460657790120731,Endocrine/metabolic,Factors/status,Diabetes mellitus without complication,Unacceptable PDX,1,84.82685371549837
Conditions due to neoplasm or the treatment of neoplasm | Leukemia - acute myeloid leukemia (AML),C9200,"Acute myeloblastic leukemia, not having achieved remission",D61810,Antineoplastic chemotherapy induced pancytopenia,2895,69.97168214286323,110.48396551054226,85.45844318795244,1.2928385000830185,Neoplasm,Blood/immune,Leukemia - acute myeloid leukemia (AML),Conditions due to neoplasm or the treatment of neoplasm,1,69.97168214286323
Other specified and unspecified diseases of bladder and urethra | Paralysis (other than cerebral palsy),G8220,"Paraplegia, unspecified",N319,"Neuromuscular dysfunction of bladder, unspecified",8163,57.49679924101373,108.01944292703013,83.97086259217375,1.2863919649325808,Nervous,Genitourinary,Paralysis (other than cerebral palsy),Other specified and unspecified diseases of bladder and urethra,2,57.49679924101373
"Acute phlebitis; thrombophlebitis and thromboembolism | Complication of cardiovascular device, implant or graft, initial encounter",I82621,Acute embolism and thrombosis of deep veins of r up extrem,T82868A,"Thrombosis due to vascular prosth dev/grft, init",1069,81.34152253521897,105.25215091136536,83.7004522774605,1.2574860475360712,Circulatory,Injury/poisoning,Acute phlebitis; thrombophlebitis and thromboembolism,"Complication of cardiovascular device, implant or graft, initial encounter",4,81.34152253521897
Osteomyelitis | Paralysis (other than cerebral palsy),G8220,"Paraplegia, unspecified",M4628,"Osteomyelitis of vertebra, sacral and sacrococcygeal region",1043,76.25800942200854,106.4088914320628,83.33596134107918,1.276866429806338,Nervous,Musculoskeletal,Paralysis (other than cerebral palsy),Osteomyelitis,2,76.25800942200854
Other aftercare encounter | Other specified and unspecified gastrointestinal disorders,K660,Peritoneal adhesions (postprocedural) (postinfection),Z433,Encounter for attention to colostomy,1975,62.842771062081226,99.75469644553974,83.1449098227701,1.1997691338913554,Digestive,Factors/status,Other specified and unspecified gastrointestinal disorders,Other aftercare encounter,2,62.842771062081226
Pneumonia (except that caused by tuberculosis) | Septicemia,A4101,Sepsis due to Methicillin susceptible Staphylococcus aureus,J15211,Pneumonia due to methicillin suscep staph,1126,81.94469747925957,107.20993945164597,82.9765925503294,1.2920503982688591,Infectious,Respiratory,Septicemia,Pneumonia (except that caused by tuberculosis),4,103.82878844761802
Aortic; peripheral; and visceral artery aneurysms | Cardiac and circulatory congenital anomalies,I712,"Thoracic aortic aneurysm, without rupture",Q231,Congenital insufficiency of aortic valve,1307,58.3893775278849,75.47135785564566,82.35550649915116,0.9164093703488247,Circulatory,Congenital,Aortic; peripheral; and visceral artery aneurysms,Cardiac and circulatory congenital anomalies,1,58.3893775278849
Diseases of mouth; excluding dental | Skin and subcutaneous tissue infections,K122,Cellulitis and abscess of mouth,L03211,Cellulitis of face,645,98.49523794433888,122.37241778164024,82.10564698442693,1.4904263260339543,Digestive,Skin,Diseases of mouth; excluding dental,Skin and subcutaneous tissue infections,1,98.49523794433888
Female reproductive system cancers - ovary | Secondary malignancies,C569,Malignant neoplasm of unspecified ovary,C786,Secondary malignant neoplasm of retroperiton and peritoneum,2532,89.958658385464,146.33892492193323,81.29532103561627,1.800090374916174,Neoplasm,Neoplasm,Female reproductive system cancers - ovary,Secondary malignancies,2,89.958658385464
Other specified and unspecified liver disease | Peritonitis and intra-abdominal abscess,K652,Spontaneous bacterial peritonitis,K7031,Alcoholic cirrhosis of liver with ascites,2778,76.86089880475951,132.8482609211199,80.80178211117048,1.6441253825112632,Digestive,Digestive,Peritonitis and intra-abdominal abscess,Other specified and unspecified liver disease,5,118.87493623133928
Gastrointestinal and biliary perforation | Peritonitis and intra-abdominal abscess,K631,Perforation of intestine (nontraumatic),K651,Peritoneal abscess,1540,73.31150397636625,97.57760142096944,80.512152491414,1.2119611561916117,Digestive,Digestive,Gastrointestinal and biliary perforation,Peritonitis and intra-abdominal abscess,2,120.46944168498044
Diseases of mouth; excluding dental | Unacceptable PDX,K1230,"Oral mucositis (ulcerative), unspecified",R5081,Fever presenting with conditions classified elsewhere,1732,85.84504271660401,136.160310622517,80.42247435638006,1.693062936849507,Digestive,Symptoms/signs,Diseases of mouth; excluding dental,Unacceptable PDX,2,85.84504271660401
Coma; stupor; and brain damage | Other nervous system disorders (often hereditary or degenerative),G253,Myoclonus,G931,"Anoxic brain damage, not elsewhere classified",1750,67.83312029451886,95.12292422079751,80.13669528823381,1.1870083222007295,Nervous,Nervous,Other nervous system disorders (often hereditary or degenerative),Coma; stupor; and brain damage,1,67.83312029451886
Paralysis (other than cerebral palsy) | Pressure ulcer of skin,G8220,"Paraplegia, unspecified",L89154,"Pressure ulcer of sacral region, stage 4",3755,61.82992979593954,92.0779057517047,78.66979984819146,1.170435236003991,Nervous,Skin,Paralysis (other than cerebral palsy),Pressure ulcer of skin,5,61.82992979593954
"Complication of other surgical or medical care, injury, initial encounter | Postprocedural or postoperative digestive system complication",K912,"Postsurgical malabsorption, not elsewhere classified",T80211A,"Bloodstream infection due to central venous catheter, init",725,82.21663495830559,99.89107444560727,77.54730641076164,1.2881308077484026,Digestive,Injury/poisoning,Postprocedural or postoperative digestive system complication,"Complication of other surgical or medical care, injury, initial encounter",2,82.21663495830559
"Fracture of head and neck, initial encounter | Open wounds of head and neck, initial encounter",S0181XA,"Laceration w/o foreign body of oth part of head, init encntr",S022XXA,"Fracture of nasal bones, init encntr for closed fracture",1604,87.97977482104889,119.84677530163609,76.13957167296161,1.574040576645319,Injury,Injury,"Open wounds of head and neck, initial encounter","Fracture of head and neck, initial encounter",5,160.04964497885445
Acute phlebitis; thrombophlebitis and thromboembolism | Gastrointestinal cancers - liver,C220,Liver cell carcinoma,I81,Portal vein thrombosis,1449,86.29581349975413,114.53229233938823,74.1918992505063,1.5437304273971213,Neoplasm,Circulatory,Gastrointestinal cancers - liver,Acute phlebitis; thrombophlebitis and thromboembolism,1,86.29581349975413
Other nervous system disorders (neither hereditary nor degenerative) | Secondary malignancies,C7931,Secondary malignant neoplasm of brain,G936,Cerebral edema,10615,50.98169829294695,98.29373821881582,73.52616839350368,1.3368538081946406,Neoplasm,Nervous,Secondary malignancies,Other nervous system disorders (neither hereditary nor degenerative),7,50.98169829294695
Other specified and unspecified disorders of stomach and duodenum | Other specified diseases of veins and lymphatics,I8510,Secondary esophageal varices without bleeding,K3189,Other diseases of stomach and duodenum,4428,69.7828221521888,113.18691099584385,73.2859453851608,1.5444559035293872,Circulatory,Digestive,Other specified diseases of veins and lymphatics,Other specified and unspecified disorders of stomach and duodenum,4,117.40141287882162
Intestinal infection | Septicemia,A0472,"Enterocolitis d/t Clostridium difficile, not spcf as recur",A414,Sepsis due to anaerobes,1361,57.607201669063066,94.1689212964412,72.26369631378485,1.3031290412759826,Infectious,Infectious,Intestinal infection,Septicemia,1,57.607201669063066
Benign neoplasms | Hemorrhoids,K635,Polyp of colon,K648,Other hemorrhoids,5160,60.78215003089507,102.56262908349146,71.72105769712107,1.4300211454858172,Digestive,Digestive,Benign neoplasms,Hemorrhoids,8,61.64957563392596
Nervous system congenital anomalies | Other specified and unspecified diseases of bladder and urethra,N319,"Neuromuscular dysfunction of bladder, unspecified",Q059,"Spina bifida, unspecified",1168,54.47077576318088,83.00750570539388,71.47746916015326,1.1613100838728114,Genitourinary,Congenital,Other specified and unspecified diseases of bladder and urethra,Nervous system congenital anomalies,1,54.47077576318088
Hypotension | Unacceptable PDX,I953,Hypotension of hemodialysis,Z992,Dependence on renal dialysis,4201,29.648119466587666,100.14228037728164,71.46670049540371,1.40124393155274,Circulatory,Factors/status,Hypotension,Unacceptable PDX,2,29.648119466587666
Other specified and unspecified skin disorders | Other specified inflammatory condition of skin,B372,Candidiasis of skin and nail,L304,Erythema intertrigo,561,78.46856549761307,93.72952128198897,71.22067348219929,1.316043737011494,Infectious,Skin,Other specified and unspecified skin disorders,Other specified inflammatory condition of skin,1,78.46856549761307
Anal and rectal conditions | Hemorrhoids,K621,Rectal polyp,K648,Other hemorrhoids,1289,63.61792575243061,97.8532577896542,70.70135365738359,1.384036552734872,Digestive,Digestive,Anal and rectal conditions,Hemorrhoids,2,63.61792575243061
Nervous system congenital anomalies | Paralysis (other than cerebral palsy),G8220,"Paraplegia, unspecified",Q059,"Spina bifida, unspecified",786,66.95374468674588,88.72545323004137,70.0882720397671,1.265910125159025,Nervous,Congenital,Paralysis (other than cerebral palsy),Nervous system congenital anomalies,1,66.95374468674588
"Conditions due to neoplasm or the treatment of neoplasm | Pathological fracture, initial encounter",G893,Neoplasm related pain (acute) (chronic),M8458XA,"Pathological fracture in neoplastic disease, oth site, init",1585,61.2249281834083,98.3198254304408,68.92184592208972,1.4265408030653008,Nervous,Musculoskeletal,Conditions due to neoplasm or the treatment of neoplasm,"Pathological fracture, initial encounter",1,61.2249281834083
Other specified and unspecified gastrointestinal disorders | Skin and subcutaneous tissue infections,K632,Fistula of intestine,L02211,Cutaneous abscess of abdominal wall,777,74.09710981346986,89.41413039476912,68.0618903534874,1.3137179988740595,Digestive,Skin,Other specified and unspecified gastrointestinal disorders,Skin and subcutaneous tissue infections,1,74.09710981346986
Endocarditis and endocardial disease | Septicemia,A4101,Sepsis due to Methicillin susceptible Staphylococcus aureus,I330,Acute and subacute infective endocarditis,1867,65.99419091355391,87.35135107634069,67.50977036674642,1.2939068019607385,Infectious,Circulatory,Septicemia,Endocarditis and endocardial disease,3,65.99419091355391
Diverticulosis and diverticulitis | Other specified and unspecified diseases of bladder and urethra,K5720,Dvtrcli of lg int w perforation and abscess w/o bleeding,N321,Vesicointestinal fistula,983,68.25161779746583,91.86385258988332,67.4681825863109,1.3615877746871785,Digestive,Genitourinary,Diverticulosis and diverticulitis,Other specified and unspecified diseases of bladder and urethra,2,68.25161779746583
Nervous system cancers - brain | Other nervous system disorders (neither hereditary nor degenerative),C719,"Malignant neoplasm of brain, unspecified",G936,Cerebral edema,1743,52.27773402484004,82.02001063817089,67.32918371130712,1.2181940447971986,Neoplasm,Nervous,Nervous system cancers - brain,Other nervous system disorders (neither hereditary nor degenerative),1,52.27773402484004
Influenza | Pneumonia (except that caused by tuberculosis),J1008,Influenza due to oth ident influenza virus w oth pneumonia,J159,Unspecified bacterial pneumonia,1976,58.67666280514977,85.11129807756691,65.87787288158184,1.2919557714098928,Respiratory,Respiratory,Influenza,Pneumonia (except that caused by tuberculosis),3,108.64582676558736
Hyperplasia of prostate | Urinary incontinence,N39498,Other specified urinary incontinence,N401,Benign prostatic hyperplasia with lower urinary tract symp,2835,40.00247444582013,86.6727377360041,65.38324634604962,1.3256108036801504,Genitourinary,Genitourinary,Urinary incontinence,Hyperplasia of prostate,2,40.00247444582013
Abdominal pain and other digestive/abdomen signs and symptoms | Urinary incontinence,R159,Full incontinence of feces,R32,Unspecified urinary incontinence,5699,48.12522557244009,89.87966566340111,65.13139588129688,1.3799745030370358,Symptoms/signs,Symptoms/signs,Abdominal pain and other digestive/abdomen signs and symptoms,Urinary incontinence,1,48.12522557244009
Nervous system signs and symptoms | Paralysis (other than cerebral palsy),G8191,"Hemiplegia, unspecified affecting right dominant side",R4701,Aphasia,13634,43.8925464436441,89.22706617900812,62.9104123699798,1.4183195248229905,Nervous,Symptoms/signs,Paralysis (other than cerebral palsy),Nervous system signs and symptoms,13,56.04160932140356
Other specified and unspecified gastrointestinal disorders | Paralysis (other than cerebral palsy),G8220,"Paraplegia, unspecified",K592,"Neurogenic bowel, not elsewhere classified",1601,65.30508014405825,89.08215050542599,62.821820550193365,1.4180128771379863,Nervous,Digestive,Paralysis (other than cerebral palsy),Other specified and unspecified gastrointestinal disorders,2,67.4620833528011
Immunity disorders | Leukemia - chronic lymphocytic leukemia (CLL),C9110,Chronic lymphocytic leuk of B-cell type not achieve remis,D801,Nonfamilial hypogammaglobulinemia,669,56.838678409982094,67.29129864423469,61.89666730612688,1.0871554410422,Neoplasm,Blood/immune,Leukemia - chronic lymphocytic leukemia (CLL),Immunity disorders,1,56.838678409982094
Non-pressure ulcer of skin | Peripheral and visceral vascular disease,I70261,"Athscl native arteries of extremities w gangrene, right leg",L97519,Non-prs chronic ulcer oth prt right foot w unsp severity,1055,68.4425152564407,95.14258562667906,60.92948447224914,1.5615196230654564,Circulatory,Skin,Peripheral and visceral vascular disease,Non-pressure ulcer of skin,2,68.4425152564407
"Chronic kidney disease | Complication of transplanted organs or tissue, initial encounter",N186,End stage renal disease,T8612,Kidney transplant failure,5187,23.76585596264648,86.1020524004109,60.7251907005344,1.4178967806790794,Genitourinary,Injury/poisoning,Chronic kidney disease,"Complication of transplanted organs or tissue, initial encounter",4,26.20264169701656
